16498,Shingeki no Kyojin
1535,Death Note
5114,Fullmetal Alchemist: Brotherhood
30276,One Punch Man
11757,Sword Art Online
31964,Boku no Hero Academia
38000,Kimetsu no Yaiba
20,Naruto
22319,Tokyo Ghoul
11061,Hunter x Hunter (2011)
32281,Kimi no Na wa.
25777,Shingeki no Kyojin Season 2
9253,Steins;Gate
33486,Boku no Hero Academia 2nd Season
1735,Naruto: Shippuuden
40748,Jujutsu Kaisen
19815,No Game No Life
35760,Shingeki no Kyojin Season 3
21,One Piece
28851,Koe no Katachi
1575,Code Geass: Hangyaku no Lelouch
38524,Shingeki no Kyojin Season 3 Part 2
4224,Toradora!
23273,Shigatsu wa Kimi no Uso
31240,Re:Zero kara Hajimeru Isekai Seikatsu
36456,Boku no Hero Academia 3rd Season
20507,Noragami
31043,Boku dake ga Inai Machi
6547,Angel Beats!
22199,Akame ga Kill!
23755,Nanatsu no Taizai
32182,Mob Psycho 100
10620,Mirai Nikki (TV)
24833,Ansatsu Kyoushitsu
21881,Sword Art Online II
20583,Haikyuu!!
37779,Yakusoku no Neverland
269,Bleach
40028,Shingeki no Kyojin: The Final Season
30831,Kono Subarashii Sekai ni Shukufuku wo!
9919,Ao no Exorcist
22535,Kiseijuu: Sei no Kakuritsu
1,Cowboy Bebop
199,Sen to Chihiro no Kamikakushi
30,Neon Genesis Evangelion
27899,Tokyo Ghoul √A
2904,Code Geass: Hangyaku no Lelouch R2
28223,Death Parade
33352,Violet Evergarden
6702,Fairy Tail
18679,Kill la Kill
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
38691,Dr. Stone
38408,Boku no Hero Academia 4th Season
34134,One Punch Man 2nd Season
11111,Another
14719,JoJo no Kimyou na Bouken (TV)
28171,Shokugeki no Souma
34572,Black Clover
35849,Darling in the FranXX
13601,Psycho-Pass
3588,Soul Eater
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
2001,Tengen Toppa Gurren Lagann
28999,Charlotte
29803,Overlord
35790,Tate no Yuusha no Nariagari
15809,Hataraku Maou-sama!
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
226,Elfen Lied
8074,Highschool of the Dead
37510,Mob Psycho 100 II
10087,Fate/Zero
32937,Kono Subarashii Sekai ni Shukufuku wo! 2
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen
121,Fullmetal Alchemist
34933,Kakegurui
50265,Spy x Family
37521,Vinland Saga
30503,Noragami Aragoto
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
11617,High School DxD
30654,Ansatsu Kyoushitsu 2nd Season
2167,Clannad
28891,Haikyuu!! Second Season
44511,Chainsaw Man
6746,Durarara!!
37430,Tensei shitara Slime Datta Ken
5081,Bakemonogatari
31478,Bungou Stray Dogs
12189,Hyouka
34599,Made in Abyss
47778,Kimetsu no Yaiba: Yuukaku-hen
14741,Chuunibyou demo Koi ga Shitai!
42897,Horimiya
26243,Owari no Seraph
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
431,Howl no Ugoku Shiro
38671,Enen no Shouboutai
9756,Mahou Shoujo Madoka★Magica
39535,Mushoku Tensei: Isekai Ittara Honki Dasu
13759,Sakura-sou no Pet na Kanojo
7054,Kaichou wa Maid-sama!
164,Mononoke Hime
6880,Deadman Wonderland
205,Samurai Champloo
33206,Kobayashi-san Chi no Maid Dragon
42249,Tokyo Revengers
813,Dragon Ball Z
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
10793,Guilty Crown
48583,Shingeki no Kyojin: The Final Season Part 2
37520,Dororo
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
11771,Kuroko no Basket
4181,Clannad: After Story
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
4898,Kuroshitsuji
36511,Tokyo Ghoul:re
18897,Nisekoi
18153,Kyoukai no Kanata
23283,Zankyou no Terror
41587,Boku no Hero Academia 5th Season
32282,Shokugeki no Souma: Ni no Sara
35120,Devilman: Crybaby
34577,Nanatsu no Taizai: Imashime no Fukkatsu
853,Ouran Koukou Host Club
17265,Log Horizon
11741,Fate/Zero 2nd Season
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
37349,Goblin Slayer
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
33255,Saiki Kusuo no Ψ-nan
19,Monster
14227,Tonari no Kaibutsu-kun
22297,Fate/stay night: Unlimited Blade Works
918,Gintama
20785,Mahouka Koukou no Rettousei
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
523,Tonari no Totoro
5680,K-On!
14513,Magi: The Labyrinth of Magic
36474,Sword Art Online: Alicization
17895,Golden Time
30015,ReLIFE
223,Dragon Ball
15583,Date A Live
40852,Dr. Stone: Stone Wars
48736,Sono Bisque Doll wa Koi wo Suru
35073,Overlord II
30240,Prison School
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
889,Black Lagoon
22043,Fairy Tail (2014)
38826,Tenki no Ko
35968,Wotaku ni Koi wa Muzukashii
40839,"Kanojo, Okarishimasu"
35788,Shokugeki no Souma: San no Sara
2025,Darker than Black: Kuro no Keiyakusha
30296,Rakudai Kishi no Cavalry
356,Fate/stay night
36098,Kimi no Suizou wo Tabetai
1689,Byousoku 5 Centimeter
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
27775,Plastic Memories
38101,5-toubun no Hanayome
6045,Kimi ni Todoke
23289,Gekkan Shoujo Nozaki-kun
39551,Tensei shitara Slime Datta Ken 2nd Season
777,Hellsing Ultimate
20787,Black Bullet
21995,Ao Haru Ride
32,Neon Genesis Evangelion: The End of Evangelion
38883,Haikyuu!! To the Top
849,Suzumiya Haruhi no Yuuutsu
39617,Yakusoku no Neverland 2nd Season
35062,Mahoutsukai no Yome
15451,High School DxD New
40221,Kami no Tou
32615,Youjo Senki
2251,Baccano!
41353,The God of High School
37675,Overlord III
10165,Nichijou
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
32995,Yuri!!! on Ice
33487,Masamune-kun no Revenge
24439,Kekkai Sensen
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
37799,Tokyo Ghoul:re 2nd Season
33674,No Game No Life: Zero
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
30484,Steins;Gate 0
34566,Boruto: Naruto Next Generations
48926,"Komi-san wa, Comyushou desu."
14345,Btooom!
16782,Kotonoha no Niwa
41025,Fumetsu no Anata e
16894,Kuroko no Basket 2nd Season
28701,Fate/stay night: Unlimited Blade Works 2nd Season
36649,Banana Fish
50602,Spy x Family Part 2
25013,Akatsuki no Yona
